asset,month,operation_count,total_value_brl,average_value_brl
ADA,2022-02-01,71475,60529968.60000023,846.8690954879361
ADA,2022-03-01,74293,32238440.50000016,433.9364475791819
ADA,2022-04-01,57326,19543403.010000117,340.91691396574186
ADA,2022-05-01,79823,44889210.0699998,562.3593459278629
ADA,2022-06-01,74792,34818328.84000041,465.53546956894337
ADA,2022-07-01,52659,20859299.610000078,396.1203139064562
ADA,2022-08-01,51880,14646770.550000237,282.32017251349725
ADA,2022-09-01,58404,13212047.329999963,226.21819276076917
ADA,2022-10-01,47156,13259336.600000024,281.1802655017394
ADA,2022-11-01,59103,22049303.149999864,373.0657183222487
ADA,2022-12-01,29922,11953908.840000035,399.5023340685795
ADA,2023-01-01,54358,14159664.05000005,260.48905496891075
ADA,2023-02-01,52602,19418334.08000005,369.15581308695585
ADA,2023-03-01,65724,18080991.699999988,275.10485819487536
ADA,2023-04-01,38543,14485984.770000001,375.8395757984589
ADA,2023-05-01,41510,10254778.610000052,247.04357046494945
ADA,2023-06-01,50711,15740427.06000008,310.39472816548835
ADA,2023-07-01,38309,10723409.900000015,279.9188154219639
ADA,2023-08-01,30737,6901191.66,224.52391775384717
ADA,2023-09-01,19472,5234721.969999988,268.8332975554636
ADA,2023-10-01,26392,8933946.349999996,338.5096373901181
ADA,2023-11-01,77792,19896999.780000072,255.7717988996307
ADA,2023-12-01,148315,51811941.71000046,349.3371655597914
ADA,2024-01-01,110770,28946392.43000037,261.31978360567274
ADA,2024-02-01,105254,37210893.41999996,353.53424496931194
ADA,2024-03-01,143034,67188043.6100002,469.7347736202595
ADA,2024-04-01,100583,35943126.70000027,357.3479285764023
ADA,2024-05-01,81801,25502949.570000112,311.76818828620816
ADA,2024-06-01,71504,25467024.77000029,356.16223945513946
ADA,2024-07-01,84335,39805013.6300003,471.98688124740977
ADA,2024-08-01,81748,94115649.45000005,1151.2899330870487
ADA,2024-09-01,69179,20759872.229999937,300.0892211509264
ADA,2024-10-01,76401,24039445.92000005,314.6483150744107
ADA,2024-11-01,301269,226975013.54000056,753.3965112241902
ADA,2024-12-01,274406,169982067.49999884,619.4546310940681
ADA,2025-01-01,192374,102650491.77000092,533.5985724162357
ADA,2025-02-01,101479,63764685.75000087,628.3535091004136
ADA,2025-03-01,203927,103426860.11999758,507.1759017687583
ADA,2025-04-01,190766,60422208.91000141,316.73468495434935
ADA,2025-05-01,142946,63002067.56000059,440.74033243323066
ADA,2025-06-01,75652,36560474.73999986,483.2717540844903
ADA,2025-07-01,131306,89977678.25000162,685.2518411192301
ADA,2025-08-01,132841,119415071.71000172,898.9323455108116
ADA,2025-09-01,99604,55556694.180000424,557.7757337054779
ADA,2025-10-01,97465,68770361.27000068,705.5903275021873
ADA,2025-11-01,83878,44421294.140000336,529.5941026252455
ADA,2025-12-01,64422,50966698.24000052,791.138093197984
ADA,2026-01-01,80181,51230744.43000062,638.9387065514351
ADA,2026-02-01,59717,22982760.99000004,384.8612788653154
ADA,2026-03-01,55409,19193785.580000367,346.4019487808906
ADA,2026-04-01,53439,13425499.68999985,251.23036901887855
ADA,2026-05-01,59183,13649268.450000018,230.6281947518716
ADA,2026-06-01,72805,20081796.230000515,275.82990495159004
BCH,2019-08-01,57610,27731957.14000032,481.3740173581031
BCH,2019-09-01,45577,17916807.190000076,393.110717905963
BCH,2019-10-01,43785,21539850.990000125,491.9458944844153
BCH,2019-11-01,40279,19261112.619999796,478.1924233471485
BCH,2019-12-01,21021,7395494.3000000985,351.8145806574425
BCH,2020-01-01,81230,56837869.829998605,699.7152508925102
BCH,2020-02-01,75931,64964706.69000013,855.5755447709122
BCH,2020-03-01,63706,55936739.60000085,878.0450758170479
BCH,2020-04-01,48649,43473179.839999944,893.6089095356522
BCH,2020-05-01,42236,37548951.31000023,889.0271642674551
BCH,2020-06-01,19054,12904153.339999998,677.2411745565234
BCH,2020-07-01,29284,32856428.649999972,1121.9925095615345
BCH,2020-08-01,44894,37626616.47000009,838.1212738896086
BCH,2020-09-01,27986,15988606.839999977,571.3073265204023
BCH,2020-10-01,23931,15965016.469999978,667.1270097363243
BCH,2020-11-01,60979,55994613.930000275,918.2606131619127
BCH,2020-12-01,67877,55976510.90000023,824.6756765914851
BCH,2021-01-01,157763,145803503.14999545,924.1932718698012
BCH,2021-02-01,177554,201622291.06999496,1135.5547668314707
BCH,2021-03-01,106123,100354632.60999815,945.6445125938595
BCH,2021-04-01,229227,286483685.90999466,1249.781596016153
BCH,2021-05-01,235273,359317427.119981,1527.2361347030087
BCH,2021-06-01,46635,37538809.75999981,804.9492818698362
BCH,2021-07-01,34212,24465903.140000146,715.126363264356
BCH,2021-08-01,58810,42183286.54999973,717.2808459445627
BCH,2021-09-01,48134,33342211.520000055,692.6956313624477
BCH,2021-10-01,56549,37984720.92999979,671.7133977612299
BCH,2021-11-01,46421,32202890.53000006,693.7138478274932
BCH,2021-12-01,23337,13286944.310000146,569.3510009855656
BCH,2022-01-01,16741,9081970.380000072,542.4986786930334
BCH,2022-02-01,15347,7525020.600000067,490.32518407506785
BCH,2022-03-01,18531,8626637.530000055,465.5246629971429
BCH,2022-04-01,15136,7934351.110000035,524.2039581131102
BCH,2022-05-01,19593,89489422.11999942,4567.418063594111
BCH,2022-06-01,17713,5281372.46000004,298.1636346186439
BCH,2022-07-01,18060,6558225.310000074,363.1353992248103
BCH,2022-08-01,16363,6565608.180000034,401.24721505836544
BCH,2022-09-01,11546,4715958.930000013,408.44958686991276
BCH,2022-10-01,7628,2896027.9,379.65756423702146
BCH,2022-11-01,17113,5159405.350000024,301.49040787705394
BCH,2022-12-01,28206,1570826.039999998,55.69120187194207
BCH,2023-01-01,51271,5202300.140000015,101.46671880790339
BCH,2023-02-01,43197,3554750.1899999995,82.29159872213347
BCH,2023-03-01,40226,5191101.220000011,129.04840700044775
BCH,2023-04-01,31017,2562618.459999999,82.6198039784634
BCH,2023-05-01,30268,2986699.339999959,98.67514668957179
BCH,2023-06-01,73562,20005168.099999096,271.94975802723
BCH,2023-07-01,70300,17704973.910000082,251.84884651493715
BCH,2023-08-01,45713,7222671.280000263,158.0003780106373
BCH,2023-09-01,61123,7123705.300000236,116.54704939221303
BCH,2023-10-01,178115,15884202.180000354,89.17947494596386
BCH,2023-11-01,138504,12654153.819999976,91.36309290706389
