month,asset,operation_count,total_value_brl,average_value_brl,stablecoin_flag,share_of_monthly_crypto_volume
2019-09-01,BNB,18,8131.09,451.7272222222222,False,1.4056145866112259e-06
2019-10-01,BNB,10,5161.74,516.174,False,7.976822331808185e-07
2019-11-01,BNB,26,64010.73999999999,2461.951538461538,False,1.1616229422275645e-05
2019-12-01,BNB,188,1648.06,8.76627659574468,False,2.7716538637194125e-07
2020-01-01,BNB,1976,326976.84,165.47410931174088,False,4.8730217577181874e-05
2020-02-01,BNB,3990,1497228.0099999993,375.2451152882204,False,0.0002359232591039189
2020-03-01,BNB,1139,622838.6299999999,546.829350307287,False,8.298045731231319e-05
2020-04-01,BNB,1210,871098.1699999992,719.9158429752059,False,0.00015176997309748096
2020-05-01,BNB,1467,829162.1099999994,565.2093456032716,False,0.00012993720707018736
2020-06-01,BNB,699,323603.14,462.95155937052937,False,4.956732949272244e-05
2020-07-01,BNB,1513,686854.1599999984,453.9683807005938,False,6.622123457089092e-05
2020-08-01,BNB,2496,1433026.819999996,574.1293349358958,False,0.00015261446371841696
2020-09-01,BNB,2713,2263305.399999997,834.244526354588,False,0.00033952745151252626
2020-10-01,BNB,4755,1312853.349999979,276.09954784436985,False,0.00020883455037918992
2020-11-01,BNB,3096,1118140.8400000052,361.15660206718513,False,0.00011527661730862244
2020-12-01,BNB,2227,1087823.9300000002,488.4705568028739,False,9.824996186097681e-05
2021-01-01,BNB,5694,2660675.6099999994,467.2770653319282,False,0.00017093681270370891
2021-02-01,BNB,54577,83884422.21000017,1536.9921800392135,False,0.005008809484859156
2021-03-01,BNB,26039,44794693.67999978,1720.2923952532656,False,0.0024692148795985515
2021-04-01,BNB,49410,79804877.29999988,1615.1563914187386,False,0.0035025209297205465
2021-05-01,BNB,31642,42747814.39999993,1350.983325959166,False,0.0016453108752482527
2021-06-01,BNB,16758,16668340.819999993,994.6497684687904,False,0.0010073795124455568
2021-07-01,BNB,18853,10345216.230000006,548.7305060202624,False,0.0007601156975955508
2021-08-01,BNB,20126,16992841.209999982,844.3228266918405,False,0.0010537756913577914
2021-09-01,BNB,18878,156810999.68,8306.547286788855,False,0.012300355678729481
2021-10-01,BNB,31340,20266777.73,646.6744649010848,False,0.001450860343018324
2021-11-01,BNB,37800,26807162.609999992,709.1841960317458,False,0.001473956808640316
2021-12-01,BNB,26497,18463581.35999998,696.8178042797291,False,0.0012399325292099554
2022-01-01,BNB,20318,14297808.42999999,703.7015665911995,False,0.0009517358433122064
2022-02-01,BNB,22637,10276278.839999992,453.9593956796392,False,0.0007998878251487124
2022-03-01,BNB,23853,8709107.45,365.1158114283318,False,0.0006590091093220797
2022-04-01,BNB,21739,9894342.140000025,455.1424692948169,False,0.0007492935029230376
2022-05-01,BNB,28046,9070017.91000003,323.39791449761213,False,0.0005256445693262314
2022-06-01,BNB,36952,13078930.319999771,353.943773544051,False,0.0008784396897992144
2022-07-01,BNB,34915,10308498.439999912,295.2455517685783,False,0.0007146412961733606
2022-08-01,BNB,34887,7831127.780000005,224.4712293977701,False,0.000530045532274174
2022-09-01,BNB,43911,6885505.130000006,156.8059285828154,False,0.0005614312205907029
2022-10-01,BNB,66084,6600482.880000007,99.8801961140368,False,0.00047776212775119126
2022-11-01,BNB,16705,11773463.790000008,704.7868177192461,False,0.0007508371068266701
2022-12-01,BNB,11193,6223374.910000004,556.0059778432952,False,0.0004531246346722458
2023-01-01,BNB,11736,6934518.649999995,590.8758222563049,False,0.00040542262314278993
2023-02-01,BNB,16503,6470846.689999999,392.1012355329333,False,0.0004175649878437849
2023-03-01,BNB,14437,5363658.770000012,371.52169910646336,False,0.00026381677671606527
2023-04-01,BNB,15302,4417856.760000001,288.71106783427007,False,0.00019836517955782438
2023-05-01,BNB,11118,5529152.249999999,497.31536697247697,False,0.0003082157551573764
2023-06-01,BNB,8549,4372213.370000002,511.4298011463332,False,0.0002057192694674055
2023-07-01,BNB,10012,3525098.1799999992,352.087313224131,False,0.00016121176582681898
2023-08-01,BNB,10085,19791772.9,1962.4960733763007,False,0.0008273508235874982
2023-09-01,BNB,10866,4859465.280000002,447.2174930977363,False,0.00028854771537960896
2023-10-01,BNB,10539,5621049.679999997,533.3570243856151,False,0.00025674304575676137
2023-11-01,BNB,12564,6905830.550000002,549.652224609997,False,0.00030328939933986694
2023-12-01,BNB,15156,7476585.439999992,493.3086196885717,False,0.0003025511229779901
2024-01-01,BNB,12016,9292410.129999995,773.3363956391476,False,0.00034928307096811695
2024-02-01,BNB,17552,7346089.589999993,418.5329073609841,False,0.0003415818745493853
2024-03-01,BNB,24082,16517215.049999973,685.8738912880979,False,0.0005049488933866927
2024-04-01,BNB,14348,9761599.26,680.345641204349,False,0.00031151316341851887
2024-05-01,BNB,11442,5837243.739999998,510.15938996678886,False,0.00020970673236655503
2024-06-01,BNB,12810,8686934.040000005,678.1369274004687,False,0.0003248870543590833
2024-07-01,BNB,18953,6587850.359999994,347.5887912203869,False,0.00022331612216906985
2024-08-01,BNB,23810,5868138.479999995,246.4568870222593,False,0.00017535546201966016
2024-09-01,BNB,18118,4790548.650000002,264.40824870294745,False,0.00014086107495666725
2024-10-01,BNB,22312,5977036.960000004,267.8844101828614,False,0.00018962132544067826
2024-11-01,BNB,37251,8918930.759999987,239.42795522267824,False,0.0002372914292043685
2024-12-01,BNB,40290,15289404.279999992,379.4838490940678,False,0.00032064509510595424
2025-01-01,BNB,27075,8139877.38,300.6418238227147,False,0.00018951743407556263
2025-02-01,BNB,26922,32654498.210000087,1212.9298792808888,False,0.0009906725679043615
2025-03-01,BNB,24457,7822302.540000012,319.83900478390694,False,0.00022388316223351107
2025-04-01,BNB,19298,5525586.960000007,286.3295139392687,False,0.00016274570140744702
2025-05-01,BNB,14421,6216654.01,431.083420705915,False,0.0001908100043405132
2025-06-01,BNB,15984,4906638.380000001,306.9718706206207,False,0.0001338156445467672
2025-07-01,BNB,20915,7466392.580000002,356.98745302414545,False,0.0001865925786940852
2025-08-01,BNB,18863,6432965.960000003,341.03620632985223,False,0.00017132896571505967
2025-09-01,BNB,21373,8010759.099999995,374.8074252561641,False,0.0002365679689350994
2025-10-01,BNB,35999,12810714.160000026,355.8630561960062,False,0.00027770986364925574
2025-11-01,BNB,31718,6098174.899999992,192.26227694053824,False,0.00012634766562801445
2025-12-01,BNB,14012,4157603.140000001,296.71732372252364,False,0.00010759142353954313
2026-01-01,BNB,15389,3960822.7199999993,257.38012346481247,False,0.00010475627226363587
2026-02-01,BNB,16808,3823852.409999999,227.50192824845303,False,0.00010346160216826206
2026-03-01,BNB,15010,2665562.989999997,177.58580879413705,False,6.879161813971617e-05
2026-04-01,BNB,13968,2708726.290000002,193.92370346506317,False,6.658473246768999e-05
2026-05-01,BNB,14064,2551769.590000006,181.4398172639367,False,4.6571166702457047e-05
2026-06-01,BNB,19762,3624179.699999988,183.39134196943567,False,6.99924514238239e-05
2020-08-01,BRLT,1,3000000.0,3000000.0,False,0.00031949394440171895
2019-08-01,BRZ,58,3835538.43,66129.97293103448,False,0.0009638196919830857
2019-09-01,BRZ,50,1854402.22,37088.0444,False,0.0003205689286278026
2019-10-01,BRZ,181,41550173.52,229558.9697237569,False,0.006421058635747657
2019-11-01,BRZ,149,52138654.95999999,349923.8587919462,False,0.009461764975443652
2019-12-01,BRZ,230,120533411.56000005,524058.3111304349,False,0.02027091828316665
2020-01-01,BRZ,258,112661452.48,436672.29643410846,False,0.01679023227428504
2020-02-01,BRZ,156,54899904.94,351922.4675641025,False,0.008650762884098157
2020-03-01,BRZ,148,34941946.440000005,236094.23270270275,False,0.004655296822185796
2020-04-01,BRZ,51,2704506.98,53029.54862745098,False,0.0004712017149531491
2020-05-01,BRZ,1387,11251028.3,8111.772386445567,False,0.0017631379634190463
2020-06-01,BRZ,1382,34926638.12999999,25272.531208393622,False,0.005349825036502403
2020-07-01,BRZ,1277,75136076.69000001,58837.96138606109,False,0.007244046915614448
2020-08-01,BRZ,10194,115166718.01999997,11297.500296252692,False,0.012265023001336771
2020-09-01,BRZ,8393,157407914.70999992,18754.6663541046,False,0.02361338780413259
