month,protocol,asset,deposits_usd,borrows_usd,withdrawals_usd,repayments_usd,avg_tvl_usd,active_user_days
2025-05-01,compound,USDT,189311657.57,94372085.35,207722240.77,54578397.92,194575459.83,917.0
2025-05-01,spark,USDC,237567777.08,55874930.42,303608671.41,88419864.97,77891712.97,337.0
2025-05-01,spark,USDT,16643390.41,23494509.26,1687673.09,10207249.05,11797267.81,150.0
2025-06-01,aave,USDC,13876265151.88,3822843060.25,13481836431.59,3542541158.4,2712334824.15,16762.0
2025-06-01,aave,USDT,6919304701.25,5782448522.67,5750148765.53,5358817933.1,4443133060.39,15072.0
2025-06-01,compound,USDC,114178116.0,71218072.73,124664454.14,67804780.69,484840490.89,1845.0
2025-06-01,compound,USDT,117912392.85,70975726.36,124091719.55,79291835.45,187903582.3,788.0
2025-06-01,spark,USDC,19435935.49,25781354.03,44687992.08,48858896.22,20242963.86,390.0
2025-06-01,spark,USDT,3199294.19,16135826.03,3280144.91,17906719.53,16159312.04,128.0
2025-07-01,aave,USDC,15475271958.28,6485184230.19,14378025059.91,5375490088.09,3518893455.97,22802.0
2025-07-01,aave,USDT,7222450238.71,12899509974.89,5146108437.27,10562769864.58,5894982972.6,20354.0
2025-07-01,compound,USDC,278127505.17,137703178.85,200309419.96,78665487.94,512769335.8,2713.0
2025-07-01,compound,USDT,157731997.77,91389736.97,137717987.3,62457775.67,214669038.11,1102.0
2025-07-01,spark,USDC,128672963.8,4163505.52,128927460.47,4381273.62,8021067.68,448.0
2025-07-01,spark,USDT,14619019.36,13984645.78,2131524.14,7260046.0,20400158.15,186.0
2025-08-01,aave,USDC,7807514923.8,7848291979.16,5643128490.14,6490677303.48,5066288100.43,29124.0
2025-08-01,aave,USDT,8497934281.23,12977406230.94,8619659867.67,13250671487.47,7183177386.34,27270.0
2025-08-01,compound,USDC,131717635.39,144662155.57,139496012.06,162349816.5,536128764.64,2711.0
2025-08-01,compound,USDT,78012820.0,60160064.95,94063481.22,74669018.5,216945089.89,1032.0
2025-08-01,spark,USDC,99301608.21,8200819.09,93450605.13,7478342.89,8562640.91,546.0
2025-08-01,spark,USDT,219606722.5,339213581.13,17809.32,163408588.97,87397816.98,286.0
2025-09-01,aave,USDC,6256437841.12,7208060159.24,6795318689.51,7662202929.49,5906469558.01,25768.0
2025-09-01,aave,USDT,8574393722.16,8284949271.01,9352514878.29,8752438748.93,7206139861.01,22680.0
2025-09-01,compound,USDC,88249668.78,133484953.21,85989237.75,132507731.02,535803982.33,2153.0
2025-09-01,compound,USDT,54291291.85,62858415.14,60401233.53,67633983.39,202595676.93,1013.0
2025-09-01,spark,USDC,26056898.13,1983061.95,25777066.53,2055296.72,8934378.33,264.0
2025-09-01,spark,USDT,314684748.41,2740912108.01,15787275.32,2421799727.25,414897308.62,319.0
2025-10-01,aave,USDC,6259111266.43,5336823027.69,6499482317.35,5493217571.97,5658346848.51,30249.0
2025-10-01,aave,USDT,10046586614.88,5446528820.31,10000906741.28,5893043849.63,6235641758.08,24577.0
