date,exchange,asset,symbol,open,high,low,close,volume,volume_brl
2023-10-10,Mercado Bitcoin,USDT,USDT/BRL,5.1664299,5.2,5.08164999,5.084058,47348.79312481,240724.01047653527
2023-10-11,Mercado Bitcoin,USDT,USDT/BRL,5.182,5.24989,5.03623816,5.086,74148.69550486,377120.265337718
2023-10-12,Mercado Bitcoin,USDT,USDT/BRL,5.086,5.123013,5.08384736,5.11740285,16889.31224679,86429.41462626305
2023-10-13,Mercado Bitcoin,USDT,USDT/BRL,5.09098252,5.18325666,4.6,5.11592076,301357.54764953,1541721.3342029196
2023-10-14,Mercado Bitcoin,USDT,USDT/BRL,5.11591876,5.14988827,4.91,4.91019001,83673.53669752,410852.9639935311
2023-10-15,Mercado Bitcoin,USDT,USDT/BRL,5.11797,5.13425997,5.07171656,5.1200271,53781.3829969,275362.1384196072
2023-10-16,Mercado Bitcoin,USDT,USDT/BRL,5.12002708,5.12994996,5.03976026,5.05648174,155926.74292993,788440.7284028651
2023-10-17,Mercado Bitcoin,USDT,USDT/BRL,5.05648173,5.10859093,5.02393818,5.06552752,158447.07831382,802618.0356622504
2023-10-18,Mercado Bitcoin,USDT,USDT/BRL,5.06552751,5.10999999,5.02096001,5.09189961,147827.8944195,752724.7979417731
2023-10-19,Mercado Bitcoin,USDT,USDT/BRL,5.09189961,5.12918416,5.0125,5.08318964,139042.70733144,706780.4494247278
2023-10-20,Mercado Bitcoin,USDT,USDT/BRL,5.08,5.12989,5.02716754,5.07245242,202101.20624187,1025148.7526864926
2023-10-21,Mercado Bitcoin,USDT,USDT/BRL,5.07245241,5.1997,5.06655003,5.07206339,75545.95977023,383173.89681299636
2023-10-22,Mercado Bitcoin,USDT,USDT/BRL,5.07206339,5.07988998,5.0665,5.07658916,20749.62655879,105337.32926240143
2023-10-23,Mercado Bitcoin,USDT,USDT/BRL,5.07658916,5.14938,5.01867977,5.04000001,227946.82680726,1148852.0093880587
